Keyword,Volume,KD,CPC,Macro Category,Category,Product Type,Topic,User Intent,Intent,Is Brand,Content Type,Funnel,Est. Traffic,Est. Value,oofos.com: Position,kanefootwear.com: Position,hoka.com: Position,kurufootwear.com: Position,aetrex.com: Position,orthofeet.com: Position,velousfootwear.com: Position,reef.com: Position,olukai.com: Position
healthcare shoes,900,7,0.9,Apparel,Footwear,Healthcare Shoe,Healthcare Shoe,Find shoes suitable for healthcare professionals,Commercial,FALSE,Blog Post,Consideration,288,259.2,54,51,1,24,,12,,,
birkenstock free shipping,900,3,0.81,Apparel,Footwear,Sandal,Sandal,Find Birkenstock products with free shipping,Transactional,TRUE,Product Page,Conversion,363,294.03000000000003,57,,,,,,,70,
birkenstock rubber clogs,900,2,0.39,Apparel,Footwear,Rubber Clog,Clog,Find Birkenstock brand rubber clogs,Commercial,TRUE,Blog Post,Consideration,403,157.17000000000002,62,,,,,,,78,
best shoes for knee pain and standing,900,7,0.45,Apparel,Footwear,Supportive Shoe,Supportive Shoe,Find best shoes for knee pain and standing,Commercial,FALSE,Blog Post,Consideration,288,129.6,24,,15,33,,7,,,
mens white dress shoes,900,0,0.47,Apparel,Footwear,Dress Shoe,Dress Shoe,Find white dress shoes for men,Commercial,FALSE,Blog Post,Consideration,288,135.35999999999999,97,,,,,,,,65
new balance shoes for plantar fasciitis,900,0,0.28,Apparel,Footwear,Orthopedic Shoe,Orthopedic Shoe,Find New Balance shoes for plantar fasciitis,Commercial,TRUE,Blog Post,Consideration,403,112.84000000000002,87,,,,,86,,,
white flip flops,900,0,0.48,Apparel,Footwear,Flip Flop,Flip Flop,Find white flip flops,Commercial,FALSE,Blog Post,Consideration,288,138.24,59,,,,,,,8,27
ora recovery slide 3,900,0,0.46,Apparel,Footwear,Recovery Slide,Recovery Slide,Find Ora Recovery Slide 3,Transactional,TRUE,Product Page,Conversion,363,166.98000000000002,70,,1,,,,,,
recovery shoe,900,4,0.79,Apparel,Footwear,Recovery Shoe,Recovery Shoe,Find recovery shoes,Commercial,FALSE,Blog Post,Consideration,288,227.52,2,4,9,74,,64,89,,
best sandals for walking,900,6,0.37,Apparel,Footwear,Walking Sandal,Sandal,Find best sandals for walking,Commercial,FALSE,Blog Post,Consideration,288,106.56,21,,12,,46,67,,,
oofos returns,900,2,0.26,Apparel,Footwear,Recovery Shoe,Recovery Shoe,Find Oofos return policy/process,Navigational,TRUE,Homepage,Retention,403,104.78,1,,,,,,,,55
best kitchen shoes,900,1,0.54,Apparel,Footwear,Kitchen Shoe,Kitchen Shoe,Find best shoes for kitchen work,Commercial,FALSE,Blog Post,Consideration,288,155.52,59,,72,28,,,,,
male slippers,900,12,0.65,Apparel,Footwear,Slipper,Slipper,Find slippers for men,Commercial,FALSE,Blog Post,Consideration,288,187.20000000000002,46,,,41,,76,,,5
mens clog slippers,900,0,0.57,Apparel,Footwear,Clog Slipper,Clog Slipper,Find clog slippers for men,Commercial,FALSE,Blog Post,Consideration,288,164.16,53,,,,,41,,,16
shoes for pronation,900,1,0.43,Apparel,Footwear,Stability Shoe,Stability Shoe,Find shoes for pronation,Commercial,FALSE,Blog Post,Consideration,288,123.84,91,,1,9,,24,,,
supportive shoes,900,26,0.71,Apparel,Footwear,Supportive Shoe,Supportive Shoe,Find supportive shoes,Commercial,FALSE,Blog Post,Consideration,288,204.48,15,,1,87,18,4,,,
women's shoes for plantar fasciitis,900,2,0.5,Apparel,Footwear,Orthopedic Shoe,Orthopedic Shoe,Find shoes for women with plantar fasciitis,Commercial,FALSE,Blog Post,Consideration,288,144,97,,,12,4,1,,,
womens clog,900,8,0.32,Apparel,Footwear,Clog,Clog,Find clogs for women,Commercial,FALSE,Blog Post,Consideration,288,92.16,47,,,,61,,,,
most comfortable on cloud shoes,900,5,0.23,Apparel,Footwear,Comfortable Sneaker,Sneaker,Find most comfortable On Cloud shoes,Commercial,TRUE,Blog Post,Consideration,403,92.69,66,,,69,,,,,
sdsw,900,52,0.12,Apparel,Footwear,Shoe Store,Shoe Retailer,Find DSW (assumed typo for sdsw) store locations/information,Navigational,TRUE,Homepage,Retention,403,48.36,90,,79,,,,,,
mens boot slippers,900,1,0.45,Apparel,Footwear,Boot Slipper,Boot Slipper,Find boot slippers for men,Commercial,FALSE,Blog Post,Consideration,288,129.6,49,,,,,,,,96
pink slippers for women,900,0,0.39,Apparel,Footwear,Slipper,Slipper,Find pink slippers for women,Commercial,FALSE,Blog Post,Consideration,288,112.32000000000001,49,,,,,89,,,39
shoes for morton's neuroma,900,0,0.54,Apparel,Footwear,Orthopedic Shoe,Orthopedic Shoe,Find shoes for Morton's Neuroma,Commercial,FALSE,Blog Post,Consideration,288,155.52,93,,,4,,1,,,
mens memory foam slippers,900,2,0.43,Apparel,Footwear,Memory Foam Slipper,Memory Foam Slipper,Find memory foam slippers for men,Commercial,FALSE,Blog Post,Consideration,288,123.84,62,,,,,66,,,
good feet reviews,900,0,0.8,Apparel,Footwear,Orthotic,Orthotic,Read reviews for Good Feet products/services,Informational,TRUE,Blog Post,Awareness,444,355.20000000000005,62,,,,,49,,,
best men's house slippers,900,16,0.5,Apparel,Footwear,House Slipper,House Slipper,Find best house slippers for men,Commercial,FALSE,Blog Post,Consideration,288,144,43,,,15,,6,,,1
best mens sandals,900,8,0.6,Apparel,Footwear,Sandal,Sandal,Find best sandals for men,Commercial,FALSE,Blog Post,Consideration,288,172.79999999999998,19,,47,71,,,,30,1
supportive slippers for women,900,8,0.46,Apparel,Footwear,Supportive Slipper,Supportive Slipper,Find supportive slippers for women,Commercial,FALSE,Blog Post,Consideration,288,132.48000000000002,31,,,93,29,1,,,11
shoe inserts for comfort,900,24,0.41,Apparel,Footwear,Shoe Insert,Shoe Insert,Find shoe inserts for comfort,Commercial,FALSE,Blog Post,Consideration,288,118.08,95,,,,25,31,,,
good feet near me,900,28,1,Apparel,Footwear,Orthotic,Orthotic,Find Good Feet store locations near me,Navigational,TRUE,Homepage,Retention,403,403,13,,19,,,17,,,
best shoes for sciatica,900,0,0.45,Apparel,Footwear,Orthopedic Shoe,Orthopedic Shoe,Find best shoes for sciatica,Commercial,FALSE,Blog Post,Consideration,288,129.6,19,,12,1,,20,,,
women's orthopedic shoes,900,11,0.48,Apparel,Footwear,Orthopedic Shoe,Orthopedic Shoe,Find orthopedic shoes for women,Commercial,FALSE,Blog Post,Consideration,288,138.24,32,,10,15,59,3,,,
black slippers womens,900,1,0.43,Apparel,Footwear,Slipper,Slipper,Find black slippers for women,Commercial,FALSE,Blog Post,Consideration,288,123.84,41,,,,,33,,,45
mens indoor outdoor slippers,900,6,0.38,Apparel,Footwear,Indoor Outdoor Slipper,Indoor Outdoor Slipper,Find indoor outdoor slippers for men,Commercial,FALSE,Blog Post,Consideration,288,109.44,42,,,51,,83,,74,2
neuropathy shoes for women,900,0,0.26,Apparel,Footwear,Neuropathy Shoe,Neuropathy Shoe,Find shoes for women with neuropathy,Commercial,FALSE,Blog Post,Consideration,288,74.88,25,,81,2,63,9,,,
crocs nursing shoes,900,11,0.27,Apparel,Footwear,Nursing Shoe,Nursing Shoe,Find Crocs brand nursing shoes,Commercial,TRUE,Blog Post,Consideration,403,108.81,84,,,,,106,,,
best sandals for men,900,7,0.6,Apparel,Footwear,Sandal,Sandal,Find best sandals for men,Commercial,FALSE,Blog Post,Consideration,288,172.79999999999998,45,,37,91,,,,35,2
gripper slippers,900,0,0.52,Apparel,Footwear,Gripper Slipper,Gripper Slipper,Find gripper slippers,Commercial,FALSE,Blog Post,Consideration,288,149.76,36,,,,,,,,59
bomba slippers for women,900,0,0,Apparel,Footwear,Slipper,Slipper,Find slippers for women,Transactional,FALSE,Product Page,Conversion,259,0,58,,,,,76,,,74
memory foam shoes for women,900,0,0.32,Apparel,Footwear,Comfort Shoe,Shoe,Find memory foam shoes for women,Transactional,FALSE,Product Page,Conversion,259,82.88,69,7,7,,52,72,,,
shoes for walking all day,900,8,0.44,Apparel,Footwear,Walking Shoe,Shoe,Find comfortable shoes for walking,Commercial,FALSE,Blog Post,Consideration,288,126.72,75,,7,36,,27,,,
warm slippers for men,900,7,0.41,Apparel,Footwear,Slipper,Slipper,Find warm slippers for men,Transactional,FALSE,Product Page,Conversion,259,106.19,22,,,,,,,,16
best women slippers,900,9,0.5,Apparel,Footwear,Slipper,Slipper,Find best slippers for women,Commercial,FALSE,Blog Post,Consideration,288,144,46,,,,,26,,,5
womens white on clouds,900,0,0.32,Apparel,Footwear,Running Shoe,Running Shoe,Find white On Cloud shoes for women,Transactional,TRUE,Product Page,Conversion,363,116.16,45,,33,,,,,,
rubber shoes for women,900,3,0.29,Apparel,Footwear,Casual Shoe,Shoe,Find rubber shoes for women,Transactional,FALSE,Product Page,Conversion,259,75.11,65,,27,,,,,,
mens fuzzy slippers,900,0,0.56,Apparel,Footwear,Slipper,Slipper,Find fuzzy slippers for men,Transactional,FALSE,Product Page,Conversion,259,145.04000000000002,59,,,,,,,7,28
waterproof tennis shoes womens,900,0,0.46,Apparel,Footwear,Tennis Shoe,Tennis Shoe,Find waterproof tennis shoes for women,Transactional,FALSE,Product Page,Conversion,259,119.14,80,,83,,,,,43,
fit flops for women,900,5,0.34,Apparel,Footwear,Sandal,Sandal,Find FitFlops for women,Transactional,TRUE,Product Page,Conversion,363,123.42000000000002,64,,,,,100,,83,33
arch support slippers for women,900,3,0.38,Apparel,Footwear,Supportive Slipper,Slipper,Find arch support slippers for women,Transactional,FALSE,Product Page,Conversion,259,98.42,37,,,26,12,16,,73,4
supportive shoes for women,900,3,0.55,Apparel,Footwear,Supportive Shoe,Shoe,Find supportive shoes for women,Transactional,FALSE,Product Page,Conversion,259,142.45000000000002,86,,48,75,4,3,,57,
barefoot shoe brands,900,54,0.9,Apparel,Footwear,Barefoot Shoe,Barefoot Shoe,Find barefoot shoe brands,Informational,FALSE,Blog Post,Awareness,317,285.3,94,,,,,,,,103
dsw sandals,800,2,0.07,Apparel,Footwear,Sandal,Sandal,Find sandals at DSW,Transactional,TRUE,Product Page,Conversion,323,22.610000000000003,58,,63,,,,,,
what stores sell on cloud shoes,800,12,0.27,Apparel,Footwear,Running Shoe,Running Shoe,Find stores selling On Cloud shoes,Navigational,TRUE,Homepage,Retention,358,96.66000000000001,45,,65,,,,,,
are crocs good for plantar fasciitis,800,0,0.15,Apparel,Footwear,Comfort Shoe,Croc,Learn if Crocs are good for plantar fasciitis,Informational,TRUE,Blog Post,Awareness,394,59.099999999999994,66,,85,,,,,,
red sandals for women,800,0,0.24,Apparel,Footwear,Sandal,Sandal,Find red sandals for women,Transactional,FALSE,Product Page,Conversion,230,55.199999999999996,57,,,,,,,106,53
who sells on cloud shoes,800,2,0.3,Apparel,Footwear,Running Shoe,Running Shoe,Find retailers of On Cloud shoes,Navigational,TRUE,Homepage,Retention,358,107.39999999999999,57,,85,103,,,,,
most comfortable slippers in the world,800,9,0.39,Apparel,Footwear,Slipper,Slipper,Find extremely comfortable slippers,Commercial,FALSE,Blog Post,Consideration,256,99.84,47,,,87,,,,,11
pink shoes men,800,0,0.41,Apparel,Footwear,Casual Shoe,Shoe,Find pink shoes for men,Transactional,FALSE,Product Page,Conversion,230,94.3,61,,19,,,,,,
oofos store near me,800,2,0.25,Apparel,Footwear,Recovery Shoe,Recovery Shoe,Find an Oofos store nearby,Navigational,TRUE,Homepage,Retention,358,89.5,2,,,,,,,,67
reef tennis shoes,800,2,0.31,Apparel,Footwear,Tennis Shoe,Tennis Shoe,Find Reef tennis shoes,Transactional,TRUE,Product Page,Conversion,323,100.13,92,,,,,,,1,48
crocs nearby,800,32,0.32,Apparel,Footwear,Casual Shoe,Croc,Find Crocs stores nearby,Navigational,TRUE,Homepage,Retention,358,114.56,32,64,,,,,,,
on cloud toddler shoes,800,0,0,Apparel,Footwear,Toddler Shoe,Toddler Shoe,Find On Cloud shoes for toddlers,Transactional,TRUE,Product Page,Conversion,323,0,67,,49,,,,,,
orthotics shoes,800,63,0.79,Medical,Orthopedic Device,Orthopedic Shoe,Orthopedic Shoe,Find shoes suitable for orthotics,Transactional,FALSE,Product Page,Conversion,230,181.70000000000002,24,,14,65,3,1,,,
heel lift inserts,800,0,0.28,Medical,Foot Care,Shoe Insert,Heel Lift Insert,Find heel lift inserts,Transactional,FALSE,Product Page,Conversion,230,64.4,79,,,,,65,,,
all about men,800,0,0.08,Lifestyle,Men's Interest,General Content,Men,Explore men's topics,Informational,FALSE,Blog Post,Awareness,282,22.56,53,,86,,,,,,
recovery shoes mens,800,9,0.95,Apparel,Footwear,Recovery Shoe,Recovery Shoe,Find recovery shoes for men,Transactional,FALSE,Product Page,Conversion,230,218.5,3,8,11,,,,,,
shower shoes for men,800,0,0.23,Apparel,Footwear,Shower Shoe,Shower Shoe,Find shower shoes for men,Transactional,FALSE,Product Page,Conversion,230,52.900000000000006,33,,55,,,,,54,14
wide toe box shoes women,800,2,0.49,Apparel,Footwear,Comfort Shoe,Shoe,Find wide toe box shoes for women,Transactional,FALSE,Product Page,Conversion,230,112.7,77,,61,44,,15,,,
men's orthopedic shoes,800,3,0.55,Medical,Orthopedic Device,Orthopedic Shoe,Orthopedic Shoe,Find orthopedic shoes for men,Transactional,FALSE,Product Page,Conversion,230,126.50000000000001,84,,19,8,40,5,,,
soft slippers,800,8,0.49,Apparel,Footwear,Slipper,Slipper,Find soft slippers,Transactional,FALSE,Product Page,Conversion,230,112.7,56,,,,,44,,,17
barefoot clogs,800,0,0.68,Apparel,Footwear,Clog,Clog,Find barefoot clogs,Transactional,FALSE,Product Page,Conversion,230,156.4,36,,,,,,,,82
most comfortable sandals for women,800,10,0.39,Apparel,Footwear,Sandal,Sandal,Find comfortable sandals for women,Commercial,FALSE,Blog Post,Consideration,256,99.84,42,,30,67,25,52,,44,4
skechers composite toe,800,0,0.18,Apparel,Footwear,Work Boot,Work Boot,Find Skechers composite toe shoes/boots,Transactional,TRUE,Product Page,Conversion,323,58.14,78,,,,,71,,,
boot for plantar fasciitis,800,0,0.38,Medical,Footwear,Orthopedic Boot,Orthopedic Boot,Find boots for plantar fasciitis,Transactional,FALSE,Product Page,Conversion,230,87.4,98,,,37,107,14,,,
diabetic slippers,800,0,0.34,Medical,Footwear,Diabetic Slipper,Diabetic Slipper,Find slippers for diabetics,Transactional,FALSE,Product Page,Conversion,230,78.2,26,,,,,6,,,
black shoes near me,800,79,0.3,Apparel,Footwear,Casual Shoe,Shoe,Find stores selling black shoes nearby,Navigational,FALSE,Homepage,Retention,256,76.8,54,87,,,,,,,
metallic sandals,800,0,0.18,Apparel,Footwear,Sandal,Sandal,Find metallic sandals,Transactional,FALSE,Product Page,Conversion,230,41.4,66,,,,,,,14,58
oofos boots,800,1,0.27,Apparel,Footwear,Recovery Boot,Recovery Boot,Find Oofos boots,Transactional,TRUE,Product Page,Conversion,323,87.21000000000001,1,,,,,,,,66
feet slippers,800,2,0.35,Apparel,Footwear,Novelty Slipper,Slipper,Find feet-shaped slippers,Transactional,FALSE,Product Page,Conversion,230,80.5,56,,,,,12,,,91
hoka plantar fasciitis,800,1,0.38,Apparel,Footwear,Running Shoe,Running Shoe,Find Hoka shoes for plantar fasciitis,Commercial,TRUE,Blog Post,Consideration,358,136.04,81,,3,95,106,98,,,
toddler house slippers,800,0,0,Apparel,Footwear,Toddler Slipper,Toddler Slipper,Find house slippers for toddlers,Transactional,FALSE,Product Page,Conversion,230,0,58,,,,,,,,52
most comfortable sandals,800,2,0.52,Apparel,Footwear,Sandal,Sandal,Find comfortable sandals,Commercial,FALSE,Blog Post,Consideration,256,133.12,31,,44,71,61,96,,,
plantar fasciitis footwear,800,10,0.78,Medical,Footwear,Orthopedic Shoe,Orthopedic Shoe,Find footwear for plantar fasciitis,Transactional,FALSE,Product Page,Conversion,230,179.4,36,,,6,5,30,,,
slide sandals,800,4,0.26,Apparel,Footwear,Slide Sandal,Slide Sandal,Find slide sandals,Transactional,FALSE,Product Page,Conversion,230,59.800000000000004,20,,,,,,,50,
best mens slides,800,7,0.32,Apparel,Footwear,Slide Sandal,Slide Sandal,Find best slides for men,Commercial,FALSE,Blog Post,Consideration,256,81.92,2,,36,,,,,30,11
shoe insoles near me,800,4,0.73,Medical,Foot Care,Shoe Insert,Shoe Insert,Find shoe insoles nearby,Navigational,FALSE,Homepage,Retention,256,186.88,43,,,97,,38,,76,
orthopedic slippers for men,800,2,0.65,Medical,Footwear,Orthopedic Slipper,Orthopedic Slipper,Find orthopedic slippers for men,Transactional,FALSE,Product Page,Conversion,230,149.5,11,,43,9,,3,,,15
flip flops with arch support,800,4,0.55,Apparel,Footwear,Flip Flop,Flip Flop,Find flip flops with arch support,Transactional,FALSE,Product Page,Conversion,230,126.50000000000001,65,,,,87,79,,11,12
best walking shoes for flat feet and overpronation,800,0,0.38,Apparel,Footwear,Walking Shoe,Shoe,Find best walking shoes for specific foot conditions,Commercial,FALSE,Blog Post,Consideration,256,97.28,94,,39,,,41,,,
grey slippers,800,0,0.69,Apparel,Footwear,Slipper,Slipper,Find grey slippers,Transactional,FALSE,Product Page,Conversion,230,158.7,86,,,,,,,,11
sketch shoes,800,10,0.38,Apparel,Footwear,Shoe,Shoe,Find Sketchers shoes (misspelled brand),Transactional,TRUE,Product Page,Conversion,323,122.74,55,,46,,,,,,
warmest slippers,800,5,0.49,Apparel,Footwear,Slipper,Slipper,Find warmest slippers,Commercial,FALSE,Blog Post,Consideration,256,125.44,35,,,,,97,,,9
hoka non slip shoes,800,0,0.41,Apparel,Footwear,Non-slip Shoe,Shoe,Find Hoka non-slip shoes,Transactional,TRUE,Product Page,Conversion,323,132.42999999999998,65,,1,87,,,,,
nursing shoes waterproof,800,4,0.54,Apparel,Footwear,Waterproof Nursing Shoe,Shoe,Find waterproof nursing shoes,Transactional,FALSE,Product Page,Conversion,230,124.2,41,,8,46,74,19,,,
goodfeet store,800,2,0.66,Retail,Footwear Retailer,Footwear Store,Store,Find Good Feet store,Navigational,TRUE,Homepage,Retention,358,236.28,34,,54,,,22,,,
ao shoes,800,47,0.48,Apparel,Footwear,Shoe,Shoe,Find Ao shoes,Transactional,TRUE,Product Page,Conversion,323,155.04,25,,57,,,,,,10
mens slide sandals,800,6,0.41,Apparel,Footwear,Men's Slide Sandal,Sandal,Find men's slide sandals,Transactional,FALSE,Product Page,Conversion,230,94.3,4,,,,,,,6,3
orthopedic shoes for flat feet,800,2,0.51,Apparel,Footwear,Orthopedic Shoe,Shoe,Find orthopedic shoes for flat feet,Transactional,FALSE,Product Page,Conversion,230,117.3,98,,24,45,8,1,,,
leather nursing shoes,800,4,0.49,Apparel,Footwear,Leather Nursing Shoe,Shoe,Find leather nursing shoes,Transactional,FALSE,Product Page,Conversion,230,112.7,53,,5,36,,52,,,
shoes.com coupon,800,0,0.1,Retail,Footwear Retailer,Coupon,Coupon,Find Shoes.com coupon,Transactional,TRUE,Product Page,Conversion,323,32.300000000000004,31,,99,,,,,,
orthopedic sneakers for women,800,7,0.53,Apparel,Footwear,Women's Orthopedic Sneaker,Sneaker,Find women's orthopedic sneakers,Transactional,FALSE,Product Page,Conversion,230,121.9,37,,10,24,34,1,,,
black slides men,800,1,0.5,Apparel,Footwear,Men's Slide Sandal,Sandal,Find men's black slide sandals,Transactional,FALSE,Product Page,Conversion,230,115,28,,40,,,,,64,25
clear sandals for women,800,1,0.31,Apparel,Footwear,Women's Clear Sandal,Sandal,Find women's clear sandals,Transactional,FALSE,Product Page,Conversion,230,71.3,36,,,,37,,,,
hoka recovery,700,0,0.41,Apparel,Footwear,Recovery Footwear,Footwear,Find Hoka recovery footwear,Transactional,TRUE,Product Page,Conversion,282,115.61999999999999,48,,2,,,,,,
sandals for wide feet,700,1,0.26,Apparel,Footwear,Sandals For Wide Feet,Sandal,Find sandals for wide feet,Transactional,FALSE,Product Page,Conversion,202,52.52,51,,65,,71,19,,21,18
are crocs closed toe shoes,700,0,1.76,Apparel,Footwear,Closed-toe Shoe,Shoe,Understand if Crocs are closed-toe,Informational,TRUE,Blog Post,Awareness,345,607.2,43,,85,,,,,,
sandal sale,700,0,0,Apparel,Footwear,Sandal,Sandal,Find sandals on sale,Transactional,FALSE,Product Page,Conversion,202,0,62,,104,,,,,6,
vionic tennis shoes,700,0,0.22,Apparel,Footwear,Tennis Shoe,Shoe,Find Vionic tennis shoes,Transactional,TRUE,Product Page,Conversion,282,62.04,56,,,,80,63,,,
recovery slippers,700,11,0.76,Apparel,Footwear,Recovery Slipper,Slipper,Find recovery slippers,Transactional,FALSE,Product Page,Conversion,202,153.52,1,34,14,101,,45,39,,
types of on cloud shoes,700,5,0.34,Apparel,Footwear,Running Shoe,Shoe,Learn about types of On Cloud shoes,Informational,TRUE,Blog Post,Awareness,345,117.30000000000001,76,,102,,96,,,,
best place to buy shoes,700,92,0.45,Retail,Footwear Retailer,Footwear Store,Store,Find best place to buy shoes,Commercial,FALSE,Blog Post,Consideration,224,100.8,68,,44,,,,,,
leather clogs womens,700,5,0.26,Apparel,Footwear,Women's Leather Clog,Clog,Find women's leather clogs,Transactional,FALSE,Product Page,Conversion,202,52.52,74,,,,72,,,52,98
black thong sandals,700,0,0.45,Apparel,Footwear,Thong Sandal,Sandal,Find black thong sandals,Transactional,FALSE,Product Page,Conversion,202,90.9,40,,99,,56,,,90,33
comfort shoes near me,700,65,0.53,Apparel,Footwear,Comfort Shoe,Shoe,Find comfort shoes locally,Navigational,FALSE,Homepage,Retention,224,118.72,25,,,,,4,,,
waterproof nursing shoes,700,2,0.68,Apparel,Footwear,Waterproof Nursing Shoe,Shoe,Find waterproof nursing shoes,Transactional,FALSE,Product Page,Conversion,202,137.36,34,,7,41,,20,,,
vionic booties,700,0,0.17,Apparel,Footwear,Bootie,Bootie,Find Vionic booties,Transactional,TRUE,Product Page,Conversion,282,47.940000000000005,55,,,,75,,,,
black and white shoes womens,700,0,0.27,Apparel,Footwear,Women's Shoe,Shoe,Find women's black and white shoes,Transactional,FALSE,Product Page,Conversion,202,54.540000000000006,53,,,,,,,64,
outdoor sandals,700,33,0.48,Apparel,Footwear,Outdoor Sandal,Sandal,Find outdoor sandals,Transactional,FALSE,Product Page,Conversion,202,96.96,32,,54,,,,,61,43
skechers orthopedic shoes for women,700,3,0.15,Apparel,Footwear,Women's Orthopedic Shoe,Shoe,Find Skechers women's orthopedic shoes,Transactional,TRUE,Product Page,Conversion,282,42.3,64,,,,,41,,,
morton's neuroma shoes,700,0,0.58,Apparel,Footwear,Therapeutic Shoe,Shoe,Find shoes for Morton's Neuroma,Transactional,FALSE,Product Page,Conversion,202,117.16,85,,,3,,9,,,
the good foot store near me,700,32,0.89,Retail,Footwear Retailer,Footwear Store,Store,Find Good Feet store locally,Navigational,TRUE,Homepage,Retention,314,279.46,21,,,,,10,,,
oofos coupon,700,1,0.07,Retail,Footwear Retailer,Coupon,Coupon,Find Oofos coupon,Transactional,TRUE,Product Page,Conversion,282,19.740000000000002,2,,,,,,,,51
types of boots for women,700,4,0.42,Apparel,Footwear,Women's Boot,Boot,Learn about types of women's boots,Informational,FALSE,Blog Post,Awareness,246,103.32,82,,,74,,,,,
barefoot basketball shoes,700,0,0.72,Apparel,Footwear,Barefoot Basketball Shoe,Shoe,Find barefoot basketball shoes,Transactional,FALSE,Product Page,Conversion,202,145.44,74,,90,,,,,,
vionic heels,700,0,0.16,Apparel,Footwear,Heel,Heel,Find Vionic heels,Transactional,TRUE,Product Page,Conversion,282,45.12,60,,,,,70,,,
sandal for men,700,8,0,Apparel,Footwear,Men's Sandal,Sandal,Find sandals for men,Transactional,FALSE,Product Page,Conversion,202,0,45,,56,90,,,,4,5
womens orthopedic shoes,700,9,0.42,Apparel,Footwear,Women's Orthopedic Shoe,Shoe,Find women's orthopedic shoes,Transactional,FALSE,Product Page,Conversion,202,84.84,30,,1,1,14,8,,,
comfortable work shoes for standing all day,700,3,0.45,Apparel,Footwear,Work Shoe,Shoe,Find comfortable work shoes,Commercial,FALSE,Blog Post,Consideration,224,100.8,90,,48,60,,20,,,
sandals.com,700,70,0.25,Retail,Footwear Retailer,Online Store,Website,Navigate to Sandals.com,Navigational,TRUE,Homepage,Retention,314,78.5,18,,,,97,,,26,76
oofos tennis shoes,700,9,0.28,Apparel,Footwear,Tennis Shoe,Shoe,Find Oofos tennis shoes,Transactional,TRUE,Product Page,Conversion,282,78.96000000000001,1,,,,,,,,96
ofoos,700,6,0.31,Apparel,Footwear,Recovery Footwear,Footwear,Find Oofos brand products,Transactional,TRUE,Product Page,Conversion,282,87.42,1,,,,,,,,104
shoes for metatarsalgia,700,0,0.61,Apparel,Footwear,Therapeutic Shoe,Shoe,Find shoes for metatarsalgia,Transactional,FALSE,Product Page,Conversion,202,123.22,81,57,,3,33,2,,,
skechers diabetic shoes,700,9,0.14,Apparel,Footwear,Diabetic Shoe,Shoe,Find Skechers diabetic shoes,Transactional,TRUE,Product Page,Conversion,282,39.480000000000004,42,,,,,29,,,
sandals for plantar fasciitis,700,1,0.6,Apparel,Footwear,Therapeutic Sandal,Sandal,Find sandals for plantar fasciitis,Transactional,FALSE,Product Page,Conversion,202,121.19999999999999,20,,43,6,8,10,,69,
heated slippers mens,700,0,0.29,Apparel,Footwear,Men's Heated Slipper,Slipper,Find men's heated slippers,Transactional,FALSE,Product Page,Conversion,202,58.58,78,,,,,96,,,57
kooba slippers,700,0,0.26,Apparel,Footwear,Slipper,Slipper,Find Kooba slippers,Transactional,TRUE,Product Page,Conversion,282,73.32000000000001,22,,,29,,,,,
most comfortable womens dress shoes,700,9,0.31,Apparel,Footwear,Women's Dress Shoe,Shoe,Find most comfortable women's dress shoes,Commercial,FALSE,Blog Post,Consideration,224,69.44,84,,,,,22,,,
good nursing shoes,700,4,0.48,Apparel,Footwear,Nursing Shoe,Shoe,Find good nursing shoes,Commercial,FALSE,Blog Post,Consideration,224,107.52,62,,2,77,,74,,,
croc flip flops for women,700,1,0.37,Apparel & Accessorie,Footwear,Flip Flop,Flip Flop,Find flip flops,Transactional,TRUE,Product Page,Conversion,282,104.34,71,94,92,,,,,,
slide on sneakers,700,6,0.49,Apparel & Accessorie,Footwear,Sneaker,Sneaker,Find sneakers,Transactional,FALSE,Product Page,Conversion,202,98.98,91,,,,,,,,36
shoes dsw,700,1,0.14,Apparel & Accessorie,Footwear,All Shoe,Shoe,Find shoes from DSW,Navigational,TRUE,Homepage,Retention,314,43.96,57,,52,,,,,,
slipper shoes for women,700,8,0.43,Apparel & Accessorie,Footwear,Slipper,Slipper,Find slippers,Transactional,FALSE,Product Page,Conversion,202,86.86,12,,,,,46,,,9
on cloud non slip shoes,700,1,0.34,Apparel & Accessorie,Footwear,Non-slip Shoe,Non-slip Shoe,Find non-slip shoes,Transactional,TRUE,Product Page,Conversion,282,95.88000000000001,45,35,,28,,,,,
womens mule slippers,700,0,0.39,Apparel & Accessorie,Footwear,Mule Slipper,Mule Slipper,Find mule slippers,Transactional,FALSE,Product Page,Conversion,202,78.78,18,,,,,,,,12
house slippers men,700,5,0.49,Apparel & Accessorie,Footwear,Slipper,Slipper,Find slippers,Transactional,FALSE,Product Page,Conversion,202,98.98,9,,,,,,,,6
women's fuzzy slippers,700,0,0.43,Apparel & Accessorie,Footwear,Fuzzy Slipper,Slipper,Find fuzzy slippers,Transactional,FALSE,Product Page,Conversion,202,86.86,25,,,,,,,,19
slippers kids,700,2,0,Apparel & Accessorie,Footwear,Slipper,Slipper,Find slippers,Transactional,FALSE,Product Page,Conversion,202,0,87,,,,,,,,97
most comfortable shoes for walking all day,700,24,0.34,Apparel & Accessorie,Footwear,Walking Shoe,Walking Shoe,Research best walking shoes,Informational,FALSE,Blog Post,Awareness,246,83.64,87,,14,,,40,,,
